Country,Window A date range,Window B date range,Classes Included,Classes filtered out,Notes / justification
Germany,"2019/07/01 - 2019/09/30, 2018/07/01 - 2018/09/30","2019/04/01 - 2019/06/01, 2018/04/01 - 2018/06/01",N/A,N/A,Source dataset did not have any classes to be filtered
India,2016/07/01 - 2016/11/30,2016/03/01 - 2016/06/30,N/A,N/A,Source dataset did not have any classes to be filtered
Kenya,2022/04/01 - 2022/07/30,2022/09/01 - 2022/12/31,"Irish Potatoes, Maize, Beans, Greengrams, Sorghum",,Included all classes
Latvia,2021/05/15 - 2021/07/01,2021/09/15 - 2021/11/01,"Barley Summer, Rape Winter, Barley Winter, Wheat Winter, Oats, Wheat Summer, Idle Land, Blackcurrant, Quince, Apples, Field Beans, Potatoes Not Elsewhere Specified or Included, Different Crops on A Small Area Of Arable Land or Several Crops Grown in A Continuous Field, Where Each Of the Crops Occupies Less Than 0.3 Ha in the Field Concerned, or Areas Used for the Production Of Flowers, Sweet Clover, Strawberry, Rye, Other Cultivated Nectar Plants (Hedgehog Periwinkle Dragons Head Lemon Balm Buttercup Blackthorn Catnip Cornflower), Fruit Trees and Berry Bushes (Excluding Strawberries) if Bsa Species Growing in A Continuous Area Each <0.3 Ha, Mustard, Raspberries, Sea Buckthorn, Red Clover, Peas, Meadow Timothy for Seed Production, Other Crops Sown on Pure Arable Land, Buckwheat, Perennial Crops Not Mentioned Elsewhere, Maize Not Elsewhere Specified, Blueberries (Blueberries), Garden Pumpkins Zucchini Courgettes Squash, Vegetables if the Bsa Eligible Vegetable Crop Species Growing in A Continuous Area Each Occupy Less Than 0.3 Ha and the Total Arable Land Area Of ??The Holding Does Not Exceed 10 Ha, Lucerne, Garlic, Watermelons and Melons, Triticale Winter, Pears, Sweet and Sour Cherries, Tree Nurseries on Agricultural Land, Carrots, Table Beets Chard (Leaf Beets), Gooseberries, Table Turnips, White Clover, Radish and Black Radish, Honeysuckle, Red and White Currants, Rhubarb, Rape Summer, Triticale Summer, Garden Rowans or Garden Mountain-Ashes, Starch Potatoes, Onions Shallots Chives Shallots and Trampolines, Seed Potatoes, Elderberry, Common Dill, Cannabis, Cabbages Not Elsewhere Specified or Included (White or Red Headed Cabbages Brussels Sprouts Kohlrabi Kale Savoy Cabbages Kale Broccoli Beijing Cabbages) Other Than Fodder Cabbages, Other Crops Not Elsewhere Specified Sown as A Mixture Of Crops on Arable Land, Phacelia With Legume Sowing, Grapes, Lupine (Sweet or Yellow White Narrow Leaf), Phacelia, Cucumbers and Gherkins, Lavender, Mixture Of Cereals and Peas or Vetches With Protein Crops> 50%, Uaa for Which No Support Is Available in the Current Year, Fig Leaves Large Fruits Nutmeg, Rye Kaupo Varieties, Maize for Biogas Production, Eastern Galega, Mustard With Legume Paste, Rapeseed, Summer, Buckwheat With Legume Seed, Bastard Clover, Asparagus, Large Cranberries, Willow, Chokeberry, Blackberries, Flax Oils, Fodder Beet Sugar Beet, Parsley, Spelt Wheat, Winter, Herbs and Cultivated Medicinal Plants (Fennel Basil Thyme Tarragon Anise Marjoram Oregano Sage Hyssop Mint Peppermint Wormwood Lofant Night Candle Nine-Man Force Apple Mint Lemon Balm Fatty Root Echinacea, Parsnips, Jerusalem Artichokes, Plums, Meadow Fescue for Seed Production, Rapeseed Winter, Marian Thistles, Borage, Vetches Summer, Hybrid Rye for Seed Production, Soybeans, Apsen, Horned Hawk, Esparsete, Chamomile, Tomatoes, Rye Population Varieties Other Than, Ordinary or Garden Beans, Marigold, Spelt Summer, Cauliflower, Red Fescue for Seed Production, Irbene, Cocksfoot for Seed Production, Cumin, Turnips, Leek, Celery, Horseradish, Sorrel, Fescue for Seed Production, Area Where the Proportion Of Naturally Sown Plants Exceeds 40% the Number Of Vegetable Crops Per Square Meter Is Less Than the Number Specified in Annex 2.2 To These Regulations and No Weed Control Agronomic Measures Have Been Implemented for at Least T, Sowing Coriander or Kinza, White Alder, Vetches Winter, Reed Fescue for Seed Production, Spinach, Paprika, Salads, Linen Fibers, Chicory","Permanent Grasslands, Mixture Of Grasses or Fodder Grasses Sown on Arable Land, Mixture Of Grasses or Legumes Sown on Arable Land With Legumes> 50%, Barley Summer With Grass or Legume Sowing, Oats With Grass or Legume Paste, Pasture Ryegrass for Seed Production, Grasses Not Elsewhere Specified or Included, Mixture Of Cereals and Peas or Vetches With Grass or Legume Sowing Where Protein Crops> 50%, Reed Canary Grass, Wheat in Summer With Grass or Legume Sowing, Perennial Ryegrass for Seed Production, Switch Grass, Summer Triticale With Grass or Legume Paste","Removed classes involving grasses/grasslands
"
Lithuania,2021/04/01 - 2021/06/30,2021/07/01 - 2021/09/30,"Vegetables, Buckwheat, Legumes, Oats, Winter Cereals, Summer Cereals, Sugar Beets, Berries, Maize
","Pasture-Meadows over 5 Years, Pasture-Meadows up to 5 Years, Other Arable Land, Rapeseed, Gardens, Fields, Perennial Grasses, Woods, Meadows, Fiber Hemp, Other Plantations, Ditches, Flax, Aromatic Plants, Mushrooms
","Filtered out pastures, other plantation fields, leaves, and flax.       Google Translated
Code : Value
Ganyklos-pievos virð 5m.:Pastures-meadows over 5 years,
Darþovës:Vegetables,
Ganyklos-pievos iki 5m.:Pastures-meadows up to 5 years,
Grikiai:Buckwheat,
Ankðtiniai javai:Early cereals,
Aviþos:Oats,
Þieminiai javai:Winter cereals,
Vasariniai javai: Spring crops, 
Kita ariama þemë:Other arable þemë,
Rapsai:Canola,
Sodai:Orchards,
Pûdymas:Pûdymas,
Daugiametës þolës:Perennial grasses,
Miðkai:Woods,
Cukriniai runkeliai:Sugar beets,
Ðlapynës:Leaves,
Uogynai:Berries,
Kukurûzai:Corn,
Pluoðtinës kanapës:Fiber hemp,
Kiti sodiniai:Other plantations,
Grioviai:Ditches,
Linai: Flax,
Aromatinai augalai:Aromatic plants,
Grybai: Mushrooms 
"
Luxembourg,2022/09/01 - 2022/11/13,2022/06/01 - 2022/08/30,Eligible agricultural parcel with the exception of vineyards,"Eligible vineyard parcel, Ineligible parcel / non-agricultural areas, Non-payable objects, e.g., electric mast, wind turbine                ","Only selected eligible parcels and filtered out all vineyards, ineligible parcels and non-agricultural areas.  ""Code : Value
P : Eligible agricultural parcel with the exception of vineyards
V : Eligible vineyard parcel
D : Ineligible parcel / non-agricultural areas
N : Non-payable objects,e.g., electric mast, wind turbine""
"
Netherlands,2022/03/01 - 2022/06/30,2022/07/01 - 2022/11/30,Arable land,"Grassland, Other, Fallow land, Natural Reserve","Filtered out grassland and fallow land.   Google Translated
Code: Value
Grasland : Grassland 
Bouwland : Arable land 
Overige : Other 
Braakland : Fallow land 
Natuurterrein : Natural Researve "
Portugal,2021/03/01 - 2021/06/15,2021/06/13 - 2021/11/30,N/A,N/A,Source dataset did not have any classes to be filtered
Rwanda,2021/04/01 - 2021/06/05,2021/06/07 - 2021/09/30,N/A,N/A,Source dataset did not have any classes to be filtered
Slovakia,2021/03/01 - 2021/06/30,2021/07/01 - 2021/11/30,"Arable land, Permanent Crops","Vineyard, Permanent Grassland, Orchard, Agricultural Land, Hop Field, Forested Agricultural Land
","Filtered out Grassland, Vineyards, Orchard, and Forested Agricultural Land    Google Translated
Code : Value
orná pôda: arable land,
vinica: vineyard,
trvalý trávny porast: permanent grassland,
ovocný sad: orchard,
trvalé plodiny : permanent crops,
poľnohospodárska pôda: agricultural land,
chmelnica: hops,
zalesnená poľnohospodárska pôda : forested agricultural land"
